(CHARITY, 148110466315, 218627959246)
(MAYNARD, 192980182235, 76827468087)
(DAHLIA, 15943163833, 249964035948)
(NOELLE, 47574359885, 201043506720)
(JULES, 57920401361, 148921504913)
(SOMER, 47089003096, 258097133027)
(ERNEST, 12358457772, 227562699690)
(VIOLA, 13084201668, 31665752323)
(DANIAL, 55567923717, 216934931923)
(YAEL, 213968573226, 176474072175)
(ZONIA, 24544640560, 46950442733)
(MARIN, 168759541605, 136857188057)
(BEULA, 144851001544, 41392670869)
(CHERRYL, 176822815993, 183723524519)
(FRAN, 189503447429, 28806437254)
(FLORINDA, 264489046401, 235019248620)
(CARLEY, 179284368449, 84938951815)
(WILEY, 143432278926, 248558977354)
(KEITH, 92918731366, 83829099834)
(SONG, 151137414080, 224302464891)
(SALVATORE, 91783225716, 174486348104)
(ARIEL, 264161385039, 271714284845)
(TERINA, 9155080732, 45503140385)
(EDRIS, 119065194657, 89898028837)
(IVORY, 177502613971, 33985505478)
(HEIDI, 184607250395, 235393325668)
(SARAH, 214009050602, 43637573354)
(ALESHA, 11569296011, 112943754614)
(STEPHANE, 198987670089, 226109300956)
(OLIMPIA, 28596397710, 249393026837)
(MARYANNA, 203026624002, 140731435645)
(LATOSHA, 210062101372, 183811725637)
(DELORES, 215945779009, 43003390316)
(MONTE, 70379473742, 215479770088)
(LARUE, 142936926368, 229193955749)
(FREDRICK, 11365022364, 120350659605)
(DANIELLA, 56056306777, 167771401505)
(CARLINE, 23905634094, 41552520007)
(MELONY, 112329212382, 112371992852)
(KATHRINE, 33789409857, 57234270231)
(TEMEKA, 242218074881, 40268052658)
(ROSALIND, 1139830423, 111019099224)
(LATONIA, 205112878507, 151839126077)
(SEBRINA, 236757541767, 36765155774)
(CAITLIN, 19857972655, 51263060562)
(DENYSE, 240947713398, 199061061539)
(TEMPIE, 32895718444, 29481907066)
(KAYLA, 197833891523, 36047682055)
(FLOSSIE, 252192515638, 238247644911)
(BERTHA, 24279450418, 53018531816)
(JACQUES, 215108995765, 121847985914)
(REYES, 153914274864, 116365961257)
